year,name,college,pos,height,weight,hand_size,arm_length,wonderlic,40_yard,bench_press,vert_leap,broad_jump,shuttle,3_cone,60yd_shuttle,simple_pos,tag,drafted,player_id,draft_round,draft_pick,team,year_max,age,all_pros_first_team,pro_bowls,years_as_primary_starter,career_av,g,pass_cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,rec,rec_yds,tackles_solo,rec_td,def_int,sacks,college_id,college_link,college_games,college_pass_yds,college_pass_td,college_pass_int,college_pass_cmp_pct,college_rush_yds,college_rush_td,college_rec_yds,college_rec_td,college_tackles,college_sacks,college_ints,college_fumbles,name_for_merge,Link,Name,POS,College,Year,RAS,Alltime RAS,Round,Draft Team
2022,Blaise Andries,Minnesota,OG,78.25,308.0,9.88,33.88,,5.1,,30.5,106.0,4.68,,,OL,"Blaise Andries, Minnesota",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blaiseandries,,,,,,,,,
2022,Jalyn Armour-Davis,Alabama,CB,72.63,197.0,9.25,30.88,,4.39,14.0,34.5,,,,,DB,"Jalyn Armour-Davis, Alabama",True,ArmoJa00,4,119.0,ravens,2024.0,23.0,0.0,0.0,0.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,,,Alabama,http://www.sports-reference.com/cfb/players/jalyn-armour-davis-1.html,28.0,,,,,,,,,36.0,0.0,3.0,0.0,jalynarmourdavis,"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=21646"">Link</a>",Jalyn Armour-Davis,CB,Alabama,2022.0,7.15,7.61,4.0,ravens
2022,Brian Asamoah,Oklahoma,ILB,72.5,225.0,10.0,33.0,,4.56,,36.5,124.0,,,,LB,"Brian Asamoah, Oklahoma",True,AsamBr00,3,66.0,vikings,2024.0,22.0,0.0,0.0,0.0,3.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,,,Oklahoma,http://www.sports-reference.com/cfb/players/brian-asamoah-ll-1.html,37.0,,,,,,,,,179.0,5.0,1.0,3.0,brianasamoah,,,,,,,,,
2022,Calvin Austin,Memphis,WR,67.75,170.0,9.25,30.0,,4.32,,39.0,135.0,4.07,,,WR,"Calvin Austin, Memphis",True,AustCa00,4,138.0,steelers,2024.0,23.0,0.0,0.0,0.0,8.0,34.0,0.0,0.0,0.0,0.0,0.0,11.0,57.0,1.0,53.0,728.0,5.0,,,,Memphis,http://www.sports-reference.com/cfb/players/calvin-austin-iii-1.html,45.0,,,,,169.0,3.0,2541.0,22.0,,,,,calvinaustin,,,,,,,,,
2022,Kevin Austin,Notre Dame,WR,74.38,200.0,9.0,32.88,,4.43,,39.0,132.0,4.15,,,WR,"Kevin Austin, Notre Dame",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kevinaustin,,,,,,,,,
2022,Tyler Badie,Missouri,RB,68.0,197.0,9.13,29.38,,4.45,,33.5,121.0,,,,RB,"Tyler Badie, Missouri",True,BadiTy00,6,196.0,ravens,2024.0,22.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,86.0,0.0,4.0,22.0,1.0,,,,Missouri,http://www.sports-reference.com/cfb/players/tyler-badie-1.html,46.0,,,,,2740.0,23.0,1149.0,11.0,,,,,tylerbadie,"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=21234"">Link</a>",Tyler Badie,RB,Missouri,2022.0,6.38,6.77,6.0,ravens
2022,Kalon Barnes,Baylor,CB,71.5,183.0,9.88,31.75,,4.23,,,,,,,DB,"Kalon Barnes, Baylor",True,BarnKa00,7,242.0,panthers,2022.0,23.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Baylor,http://www.sports-reference.com/cfb/players/kalon-barnes-1.html,41.0,,,,,,,,,68.0,0.0,3.0,1.0,kalonbarnes,"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=21432"">Link</a>",Kalon Barnes,CB,Baylor,2022.0,6.31,6.55,7.0,panthers
2022,Amare Barno,Virginia Tech,OLB,76.63,246.0,9.0,34.0,,4.36,,37.0,131.0,,,,LB,"Amare Barno, Virginia Tech",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amarebarno,,,,,,,,,
2022,Darrian Beavers,Cincinnati,OLB,75.75,237.0,9.75,32.38,,,,36.5,125.0,4.28,,,LB,"Darrian Beavers, Cincinnati",True,BeavDa00,6,182.0,giants,2023.0,23.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Cincinnati,http://www.sports-reference.com/cfb/players/darrian-beavers-1.html,62.0,,,,,,,,,233.0,14.0,3.0,3.0,darrianbeavers,"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=21058"">Link</a>",Darrian Beavers,LB,Cincinnati,2022.0,9.61,9.64,6.0,giants
2022,David Bell,Purdue,WR,72.88,212.0,9.25,31.88,,4.68,,33.0,118.0,4.57,,,WR,"David Bell, Purdue",True,BellDa02,3,99.0,browns,2024.0,21.0,0.0,0.0,0.0,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,408.0,3.0,1.0,,,Purdue,http://www.sports-reference.com/cfb/players/david-bell-6.html,29.0,,,,,51.0,1.0,2946.0,21.0,,,,,davidbell,"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=20973"">Link</a>",David Bell,WR,Purdue,2022.0,3.98,4.33,3.0,browns
2022,Greg Bell,San Diego State,RB,70.5,201.0,9.38,30.88,,,17.0,31.0,120.0,,,,RB,"Greg Bell, San Diego State",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gregbell,,,,,,,,,
2022,Markquese Bell,Florida A&M,SS,74.13,212.0,9.38,32.38,,4.41,,36.5,123.0,4.46,,,DB,"Markquese Bell, Florida A&M",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,markquesebell,,,,,,,,,
2022,Daniel Bellinger,San Diego State,TE,76.88,253.0,10.13,32.5,,4.63,22.0,34.5,125.0,4.47,,,TE,"Daniel Bellinger, San Diego State",True,BellDa00,4,112.0,giants,2024.0,21.0,0.0,0.0,2.0,6.0,46.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,69.0,648.0,2.0,2.0,,,San Diego State,http://www.sports-reference.com/cfb/players/daniel-bellinger-1.html,43.0,,,,,-4.0,0.0,771.0,5.0,,,,,danielbellinger,"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=21049"">Link</a>",Daniel Bellinger,TE,San Diego State,2022.0,9.65,9.74,4.0,giants
2022,Dane Belton,Iowa,SS,72.63,205.0,9.13,31.0,,4.43,,36.5,123.0,4.24,,,DB,"Dane Belton, Iowa",True,BeltDa00,4,114.0,giants,2024.0,21.0,0.0,0.0,0.0,8.0,49.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,74.0,5.0,2.0,Iowa,http://www.sports-reference.com/cfb/players/dane-belton-1.html,30.0,,,,,,,,,112.0,1.0,5.0,1.0,danebelton,"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=21648"">Link</a>",Dane Belton,SS,Iowa,2022.0,9.42,9.63,4.0,giants
2022,Terrel Bernard,Baylor,OLB,72.88,224.0,9.63,30.25,,,22.0,35.5,123.0,4.25,,,LB,"Terrel Bernard, Baylor",True,BernTe00,3,89.0,bills,2024.0,23.0,0.0,0.0,2.0,19.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,5.0,7.5,Baylor,http://www.sports-reference.com/cfb/players/terrel-bernard-1.html,45.0,,,,,,,,,317.0,16.5,3.0,0.0,terrelbernard,"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=21084"">Link</a>",Terrel Bernard,LB,Baylor,2022.0,8.89,9.1,3.0,bills
2022,Bubba Bolden,Miami (FL),SS,74.13,209.0,9.0,31.38,,4.47,,,116.0,,,,DB,"Bubba Bolden, Miami (FL)",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bubbabolden,,,,,,,,,
