year,name,college,pos,height,weight,hand_size,arm_length,wonderlic,40_yard,bench_press,vert_leap,broad_jump,shuttle,3_cone,60yd_shuttle,simple_pos,tag,drafted,player_id,draft_round,draft_pick,team,year_max,age,all_pros_first_team,pro_bowls,years_as_primary_starter,career_av,g,pass_cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,rec,rec_yds,tackles_solo,rec_td,def_int,sacks,college_id,college_link,college_games,college_pass_yds,college_pass_td,college_pass_int,college_pass_cmp_pct,college_rush_yds,college_rush_td,college_rec_yds,college_rec_td,college_tackles,college_sacks,college_ints,college_fumbles,name_for_merge,Link,Name,POS,College,Year,RAS,Alltime RAS,Round,Draft Team
2012.0,Luke Kuechly,Boston College,ILB,75.25,242.0,9.75,31.0,,4.58,27.0,38.0,123.0,4.12,,,LB,"Luke Kuechly, Boston College",True,KuecLu00,1,9.0,panthers,2019.0,21.0,5.0,7.0,8.0,91.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690.0,18.0,12.5,Boston Col.,http://www.sports-reference.com/cfb/players/luke-kuechly-1.html,38.0,,,,,,,,,532.0,2.5,7.0,2.0,lukekuechly,"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=10102"">Link</a>",Luke Kuechly,LB,Boston College,2012,10.0,9.99,1,panthers
2014.0,Taylor Lewan,Michigan,OT,79.13,309.0,9.25,33.88,,4.87,29.0,30.5,116.0,4.49,,,OL,"Taylor Lewan, Michigan",True,LewaTa00,1,11.0,titans,2022.0,23.0,0.0,3.0,7.0,48.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.0,,,,Michigan,http://www.sports-reference.com/cfb/players/taylor-lewan-1.html,,,,,,,,,,,,,,taylorlewan,"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=11581"">Link</a>",Taylor Lewan,OT,Michigan,2014,10.0,9.99,1,titans
2015.0,Byron Jones,Connecticut,CB,72.63,199.0,10.0,32.0,33.0,4.49,,44.5,147.0,3.94,,,DB,"Byron Jones, Connecticut",True,JoneBy00,1,27.0,cowboys,2021.0,22.0,0.0,1.0,7.0,38.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0,4.0,,Connecticut,http://www.sports-reference.com/cfb/players/byron-jones-2.html,43.0,,,,,,,,,222.0,0.0,8.0,0.0,byronjones,"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=11758"">Link</a>",Byron Jones,CB,Connecticut,2015,10.0,9.99,1,cowboys
2015.0,Kristjan Sokoli,Buffalo,DT,77.0,290.0,,,,4.86,,,,,,,DL,"Kristjan Sokoli, Buffalo",True,SokoKr00,6,214.0,seahawks,2015.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Buffalo,http://www.sports-reference.com/cfb/players/kristjan-sokoli-1.html,46.0,,,,,,,,,95.0,2.5,0.0,1.0,kristjansokoli,"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=12036"">Link</a>",Kristjan Sokoli,DT,Buffalo,2015,10.0,9.99,6,seahawks
2016.0,Moritz Boehringer,Schwabisch Hall,WR,76.5,227.0,,,,,,,,,,,WR,"Moritz Boehringer, Schwabisch Hall",True,BoehMo00,6,180.0,vikings,,22.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,moritzboehringer,"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=12874"">Link</a>",Moritz Boehringer,WR,International,2016,9.98,9.99,6,vikings
2017.0,Myles Garrett,Texas A&M,DE,76.25,272.0,10.25,35.25,31.0,4.64,33.0,41.0,128.0,4.2,,,DL,"Myles Garrett, Texas A&M",True,GarrMy00,1,1.0,browns,2024.0,21.0,4.0,6.0,8.0,90.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,,102.5,Texas A&M,http://www.sports-reference.com/cfb/players/myles-garrett-1.html,36.0,,,,,,,,,145.0,32.5,1.0,7.0,mylesgarrett,"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=14618"">Link</a>",Myles Garrett,DE,Texas A&amp;M,2017,9.99,9.99,1,browns
2018.0,Mike Gesicki,Penn State,TE,77.5,247.0,10.13,34.0,,4.54,22.0,41.5,129.0,4.1,,,TE,"Mike Gesicki, Penn State",True,GesiMi00,2,42.0,dolphins,2024.0,22.0,0.0,0.0,2.0,26.0,115.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,3526.0,22.0,1.0,,,Penn State,http://www.sports-reference.com/cfb/players/mike-gesicki-1.html,51.0,,,,,0.0,0.0,1481.0,15.0,,,,,mikegesicki,"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=16703"">Link</a>",Mike Gesicki,TE,Penn State,2018,9.97,9.99,2,dolphins
2018.0,Saquon Barkley,Penn State,RB,72.0,233.0,9.5,31.38,,4.4,29.0,41.0,,4.24,,,RB,"Saquon Barkley, Penn State",True,BarkSa00,1,2.0,giants,2024.0,21.0,1.0,3.0,6.0,58.0,90.0,0.0,0.0,0.0,0.0,0.0,1546.0,7216.0,48.0,321.0,2378.0,14.0,,,,Penn State,http://www.sports-reference.com/cfb/players/saquon-barkley-1.html,38.0,,,,,3843.0,43.0,1195.0,8.0,,,,,saquonbarkley,"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=16991"">Link</a>",Saquon Barkley,RB,Penn State,2018,9.97,9.99,1,giants
2021.0,Creed Humphrey,Oklahoma,C,,,,,,,,,,,,,OL,"Creed Humphrey, Oklahoma",True,HumpCr00,2,63.0,chiefs,2024.0,22.0,1.0,3.0,4.0,40.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,Oklahoma,http://www.sports-reference.com/cfb/players/creed-humphrey-1.html,,,,,,,,,,,,,,creedhumphrey,"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=17729"">Link</a>",Creed Humphrey,OC,Oklahoma,2021,10.0,9.99,2,chiefs
2020.0,Jeremy Chinn,Southern Illinois,S,75.0,221.0,9.63,32.13,,4.45,20.0,41.0,138.0,,,,DB,"Jeremy Chinn, Southern Illinois",True,ChinJe00,2,64.0,panthers,2024.0,22.0,0.0,0.0,4.0,38.0,71.0,0.0,0.0,0.0,0.0,0.0,2.0,29.0,0.0,0.0,0.0,0.0,285.0,3.0,6.0,Southern Illinois,,,,,,,,,,,,,,,jeremychinn,"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=19693"">Link</a>",Jeremy Chinn,FS,Southern Illinois,2020,10.0,9.99,2,panthers
